# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
bai tiao 	白條	c=2 d=1.75846e-08 t=35298
bai xing nve sha 	败兴虐杀	c=1 d=5.48998e-05 t=35298
bai xue bing 	白血病	c=1 d=7.29021e-18 t=35298
bai yang 	白羊	c=1 d=5.42317e-08 t=35298
bai zhe bu nao 	百折不撓	c=3 d=0.008301 t=35298
ban 	半	c=11 d=5.48349e-05 t=35298
ban 	搬	c=7 d=1.05596e-14 t=35298
ban 	版	c=27 d=0.00178755 t=35298
ban 	辦	c=9 d=0.00798652 t=35298
ban ben 	版本	c=19 d=0.00340944 t=35298
ban dao ti 	半導體	c=1 d=0.25284 t=35298
ban fa 	辦法	c=6 d=2.41255e-08 t=35298
ban ge 	半個	c=3 d=1.12049e-07 t=35298
ban ge yue 	半個月	c=5 d=0.000652304 t=35298
ban gong 	辦公	c=2 d=1.77375e-07 t=35298
ban jia 	搬家	c=4 d=3.62681e-09 t=35298
ban jia le 	搬家了	c=1 d=2.66898e-20 t=35298
ban jing 	半徑	c=1 d=1.98034e-09 t=35298
ban li 	辦理	c=1 d=1.57505e-21 t=35298
ban nian 	半年	c=3 d=4.82014e-05 t=35298
ban qu 	搬去	c=1 d=1.37947e-20 t=35298
ban quan 	版權	c=2 d=1.40906e-05 t=35298
ban tian 	半天	c=3 d=0.0100518 t=35298
ban tiao 	半條	c=1 d=2.68658e-09 t=35298
ban tong shui 	半桶水	c=1 d=4.06624e-32 t=35298
ban wa gong 	搬瓦工	c=1 d=1.84608e-36 t=35298
ban yun 	搬運	c=1 d=0.0208584 t=35298
ban zai 	板載	c=1 d=5.17114e-07 t=35298
ban zhuan 	搬磚	c=1 d=4.63882e-23 t=35298
bang 	幫	c=1 d=1.57339e-38 t=35298
bang 	榜	c=2 d=9.05515e-31 t=35298
bang 	綁	c=2 d=7.84999e-06 t=35298
bang ding 	綁定	c=32 d=1.16132 t=35298
bang mang 	幫忙	c=1 d=1 t=35048
bang ni 	幫你	c=3 d=0.394554 t=35298
bang wo 	幫我	c=3 d=4.21338e-09 t=35298
bang zhu 	幫助	c=27 d=1.65783e-06 t=35298
bao 	保	c=1 d=1 t=31747
bao 	包	c=35 d=1.39767 t=35298
bao 	報	c=3 d=1.91987e-18 t=35298
bao 	寶	c=3 d=2.57675e-18 t=35298
bao 	暴	c=1 d=2.4059e-05 t=35298
bao bao 	寶寶	c=1 d=1 t=32917
bao biao 	報表	c=4 d=2.5374 t=31671
bao cai 	包菜	c=1 d=2.71165e-30 t=35298
bao chi 	保持	c=1 d=5.36923e-08 t=35298
bao cun 	保存	c=35 d=0.471418 t=35298
bao cuo 	報錯	c=6 d=1.00133 t=35298
bao dao 	報道	c=1 d=1.09228e-09 t=35298
bao dian 	寶典	c=1 d=0.0284388 t=35298
bao die 	暴跌	c=1 d=2.08683e-37 t=35298
bao fa 	爆發	c=1 d=0.00148106 t=35298
bao gao 	報告	c=2 d=7.28276e-06 t=35298
bao gao dan 	报告单	c=3 d=0.0232837 t=35298
bao guang 	曝光	c=1 d=5.83442e-15 t=35298
bao guo 	包裹	c=1 d=0.000476043 t=35298
bao han 	包含	c=2 d=8.14207e-24 t=35298
bao he 	飽和	c=1 d=1.89546e-23 t=35298
bao ji 	暴擊	c=2 d=6.09549e-30 t=35298
bao kuo 	包括	c=2 d=0.0011109 t=35298
bao liao 	爆料	c=1 d=1.46378e-12 t=35298
bao lie 	爆裂	c=1 d=0.000112788 t=35298
bao ming 	保命	c=2 d=3.12082e-07 t=35298
bao po 	爆破	c=1 d=6.12608e-30 t=35298
bao qian 	抱歉	c=6 d=0.00546167 t=35298
bao ta 	寶塔	c=2 d=0.0108347 t=35298
bao xian 	保險	c=1 d=0.0222592 t=35298
bao zha 	爆炸	c=1 d=1 t=32469
bao zhang 	保障	c=2 d=8.19524e-13 t=35298
bao zheng 	保證	c=1 d=2.63293e-07 t=35298
bao zou 	抱走	c=1 d=1.74313e-08 t=35298
bei 	備	c=1 d=1.47086e-10 t=35298
bei 	北	c=1 d=0.0136366 t=35298
bei 	背	c=3 d=0.0349552 t=35298
bei 	被	c=39 d=0.369002 t=35298
bei an 	備案	c=1 d=2.09658e-33 t=35298
bei fen 	備份	c=5 d=1.69354e-12 t=35298
bei hai 	北海	c=1 d=2.85211e-36 t=35298
bei jing 	北京	c=3 d=0.0445191 t=35298
bei jing 	背景	c=1 d=6.78786e-31 t=35298
bei po 	被迫	c=1 d=0.148823 t=35298
bei wei 	卑微	c=1 d=1 t=32473
bei wo 	被我	c=1 d=1.17045e-28 t=35298
bei wo 	被窩	c=1 d=1 t=33513
bei yong 	備用	c=2 d=0.0026852 t=35298
bei zhu 	備註	c=6 d=0.000829241 t=35298
bei zi 	杯子	c=1 d=1.98027e-38 t=35298
bei zi 	被子	c=1 d=1.00604e-12 t=35298
ben 	本	c=6 d=1.81002e-05 t=35298
ben bi 	笨比	c=1 d=1.02194e-20 t=35298
ben de 	本地	c=1 d=9.58603e-33 t=35298
ben di 	本地	c=11 d=0.000136517 t=35298
ben di hua 	本地化	c=1 d=1.12803e-35 t=35298
ben di ren 	本地人	c=1 d=4.76775e-22 t=35298
ben ji 	本機	c=1 d=1 t=34819
ben jin 	本金	c=1 d=1.33067e-08 t=35298
ben lai 	本來	c=5 d=0.114178 t=35298
ben ren 	本人	c=13 d=0.0405589 t=35298
ben shi 	本事	c=1 d=0.0361528 t=35298
ben zhi 	本職	c=1 d=1.99094e-13 t=35298
ben zi 	本子	c=1 d=2.54886e-37 t=35298
beng 	蹦	c=1 d=7.57456e-27 t=35298
beng ti 	甭提	c=0 d=5.16396e-21 t=35298
beng ti le 	甭提了	c=1 d=5.18981e-20 t=35298
bi 	壁	c=1 d=4.78089e-25 t=35298
bi 	幣	c=19 d=0.00161833 t=35298
bi 	彼	c=1 d=0.276651 t=35298
bi 	比	c=8 d=0.332395 t=35298
bi 	筆	c=1 d=3.63587e-10 t=35298
bi bao 	閉包	c=3 d=4.34243e-11 t=35298
bi ji 	筆記	c=1 d=9.3284e-36 t=35298
bi ji ben 	筆記本	c=5 d=4.89776e-15 t=35298
bi jiao 	比較	c=12 d=0.603506 t=35298
bi jiao man 	比較慢	c=1 d=9.18981e-07 t=35298
bi jing 	畢竟	c=7 d=0.0262523 t=35298
bi kan 	必看	c=1 d=2.65288e-37 t=35298
bi lei 	壁壘	c=1 d=7.54603e-12 t=35298
bi lv 	比率	c=3 d=0.0557966 t=35298
bi mian 	避免	c=1 d=2.7005e-11 t=35298
bi na xia 	必拿下	c=1 d=0.00472447 t=35298
bi ni 	比你	c=4 d=4.0468e-05 t=35298
bi ru 	比如	c=2 d=0.00133343 t=35298
bi shou 	匕首	c=1 d=1.49228e-33 t=35298
bi tian 	必填	c=1 d=1 t=32221
bi wo 	比我	c=3 d=0.0916297 t=35298
bi xu 	必須	c=5 d=0.0784731 t=35298
bi ye 	畢業	c=2 d=0.000167464 t=35298
bi yu 	比喻	c=1 d=2.0266e-16 t=35298
bi zheng 	必爭	c=1 d=2.43083e-38 t=35298
bi zhi 	壁紙	c=1 d=0.398519 t=35298
bian 	變	c=11 d=0.041594 t=35298
bian 	邊	c=4 d=4.42865e-07 t=35298
bian cheng 	編程	c=2 d=2.10665e-23 t=35298
bian cheng 	變成	c=3 d=0.00013845 t=35298
bian dong 	變動	c=9 d=0.00171257 t=35298
bian geng 	變更	c=4 d=0.000258391 t=35298
bian geng wei 	變更爲	c=1 d=0.00447164 t=35298
bian hua 	變化	c=3 d=0.00440523 t=35298
bian ji 	編輯	c=37 d=0.543335 t=35298
bian ji qi 	編輯器	c=11 d=0.00192275 t=35298
bian jia 	變價	c=1 d=0.000164106 t=35298
bian jiao 	變焦	c=1 d=8.4206e-08 t=35298
bian le 	變了	c=2 d=0.0260545 t=35298
bian li 	遍歷	c=2 d=2.73385e-30 t=35298
bian liang 	變量	c=4 d=6.44365e-07 t=35298
bian ma 	編碼	c=2 d=3.58115e-08 t=35298
bian shang 	邊上	c=1 d=1.53059e-37 t=35298
bian xian 	變現	c=1 d=4.63077e-32 t=35298
bian xiang 	變相	c=1 d=1.57531e-23 t=35298
bian xie 	便攜	c=6 d=1.82746e-05 t=35298
bian xie 	編寫	c=11 d=5.53105e-07 t=35298
bian xie ban 	便攜版	c=7 d=0.103312 t=35298
bian xie ben 	編寫本	c=1 d=1.80056e-07 t=35298
bian yu 	便於	c=2 d=1.8825 t=32373
bian yuan 	邊緣	c=1 d=3.32464e-16 t=35298
biao 	婊	c=1 d=4.57456e-06 t=35298
biao 	標	c=1 d=1.81488e-12 t=35298
biao 	表	c=69 d=0.00636609 t=35298
biao dan 	表單	c=4 d=3.25605e-07 t=35298
biao ge 	表格	c=9 d=0.956642 t=35298
biao ji 	標記	c=1 d=1.68691e-34 t=35298
biao ji chu 	標記處	c=1 d=8.17285e-39 t=35298
biao pei 	標配	c=1 d=2.41796e-05 t=35298
biao qian 	標籤	c=10 d=0.102797 t=35298
biao qing 	表情	c=19 d=0.985329 t=35298
biao qing bao 	表情包	c=3 d=0.000983395 t=35298
biao shi 	標識	c=9 d=9.46807e-05 t=35298
biao shi 	表示	c=4 d=0.57695 t=35298
biao ti 	標題	c=18 d=0.96756 t=35298
biao xian 	表現	c=3 d=4.57533e-08 t=35298
biao yang 	表揚	c=1 d=2.70648e-37 t=35298
bie 	別	c=4 d=0.000930303 t=35298
bie fei hua 	別廢話	c=1 d=3.54972e-22 t=35298
bie kan 	別看	c=1 d=0.546074 t=35298
bie ming 	別名	c=2 d=3.83439e-10 t=35298
bie ren 	別人	c=9 d=0.0124689 t=35298
bie shuo 	別說	c=1 d=0.110803 t=35298
bin 	彬	c=1 d=1.65749e-33 t=35298
bing 	並	c=25 d=0.285718 t=35298
bing 	冰	c=2 d=0.0026852 t=35298
bing 	餅	c=1 d=2.60806e-13 t=35298
bing bu 	並不	c=1 d=3.14887e-24 t=35298
bing bu shi 	並不是	c=1 d=5.51938e-09 t=35298
bing du 	病毒	c=3 d=1.13278e-17 t=35298
bing fa 	併發	c=2 d=0.000294567 t=35298
bing fei 	並非	c=1 d=3.78425e-10 t=35298
bing gan 	餅乾	c=1 d=7.2064e-29 t=35298
bing qie 	並且	c=1 d=1 t=34961
bing xiang 	冰箱	c=2 d=4.34023e-05 t=35298
bing xue qi yuan 	冰雪奇缘	c=1 d=2.22706e-08 t=35298
bing zai 	並在	c=1 d=3.72654e-35 t=35298
bing zheng 	病症	c=2 d=8.23937e-35 t=35298
bo 	博	c=1 d=3.47471e-06 t=35298
bo 	播	c=2 d=2.94799e-05 t=35298
bo 	波	c=2 d=1.85697e-17 t=35298
bo da 	撥打	c=3 d=1.9465 t=35231
bo da jing shen 	博大精深	c=0 d=0.0786628 t=35298
bo fang 	播放	c=4 d=0.00235571 t=35298
bo fang qi 	播放器	c=1 d=2.24944e-08 t=35298
bo ke 	博客	c=2 d=3.49272e-08 t=35298
bo li 	玻璃	c=1 d=7.66661e-22 t=35298
bo tong 	撥通	c=4 d=1.99007 t=35225
bu 	不	c=186 d=2.69232 t=35298
bu 	布	c=2 d=7.35596e-06 t=35298
bu 	步	c=4 d=0.000375415 t=35298
bu 	補	c=5 d=0.00304272 t=35298
bu 	部	c=4 d=0.000191619 t=35298
bu ai 	不愛	c=3 d=0.00752142 t=35298
bu ai kan 	不愛看	c=1 d=8.09016e-37 t=35298
bu bao cun 	不保存	c=1 d=1 t=33061
bu bao he 	不飽和	c=1 d=3.44366e-18 t=35298
bu bao kuo 	不包括	c=2 d=0.0205478 t=35298
bu chang 	補償	c=1 d=1.3445e-12 t=35298
bu chi 	不吃	c=1 d=6.34664e-05 t=35298
bu chong 	補充	c=2 d=2.05548e-06 t=35298
bu chuan 	不傳	c=1 d=1.73414e-06 t=35298
bu cun zai 	不存在	c=1 d=0.00012909 t=35298
bu cuo 	不錯	c=3 d=0.000735471 t=35298
bu da 	不大	c=1 d=1.39575e-11 t=35298
bu da 	不打	c=2 d=6.8314e-18 t=35298
bu da suan 	不打算	c=1 d=2.30318e-21 t=35298
bu dai 	不帶	c=4 d=0.0113334 t=35298
bu dao 	不到	c=6 d=0.000382042 t=35298
bu dao bi 	不倒閉	c=1 d=0.0561348 t=35298
bu deng yu 	不等於	c=1 d=1.42028e-10 t=35298
bu dong 	不懂	c=4 d=9.07644e-08 t=35298
bu dui 	不對	c=4 d=0.339596 t=35298
bu dui jing 	不对劲	c=3 d=4.20985e-06 t=35298
bu fa 	不發	c=2 d=1.20715e-09 t=35298
bu fa 	步伐	c=1 d=2.56739e-34 t=35298
bu fan fa 	不犯法	c=1 d=0.0374406 t=35298
bu fen 	部分	c=13 d=0.0509315 t=35298
bu fu 	不服	c=1 d=7.41448e-11 t=35298
bu fu he 	不符合	c=2 d=0.00673795 t=35298
bu gai 	不該	c=1 d=1.00587e-10 t=35298
bu gan 	不敢	c=1 d=0.0812682 t=35298
bu gan huo 	不幹活	c=1 d=5.62209e-20 t=35298
bu gan xing qu 	不感興趣	c=1 d=1.50395e-07 t=35298
bu gao 	不搞	c=2 d=2.27293e-08 t=35298
bu gao 	不高	c=1 d=1 t=31996
bu gei 	不給	c=3 d=0.000825105 t=35298
bu gei 	補給	c=1 d=2.0378e-22 t=35298
bu gei ni 	不給你	c=1 d=3.32973e-34 t=35298
bu gei qian 	不給錢	c=1 d=2.45275e-26 t=35298
bu gou 	不夠	c=4 d=9.65934e-05 t=35298
bu gou hao 	不夠好	c=1 d=8.67825e-39 t=35298
bu guan 	不管	c=5 d=0.000300519 t=35298
bu guo 	不過	c=24 d=0.208607 t=35298
bu hao 	不好	c=18 d=0.783778 t=35298
bu hao gao 	不好搞	c=2 d=0.0183156 t=35298
bu hao shi 	不好使	c=1 d=7.94371e-28 t=35298
bu hao yi si 	不好意思	c=1 d=4.66777e-08 t=35298
bu he 	不和	c=1 d=2.86652e-07 t=35298
bu he 	不喝	c=1 d=2.15786e-19 t=35298
bu hui 	不會	c=24 d=0.197901 t=35298
bu ji 	不急	c=1 d=9.93259e-39 t=35298
bu jian 	部件	c=3 d=0.0189086 t=35298
bu jian guan cai bu luo lei 	不見棺材不落淚	c=1 d=6.81722e-23 t=35298
bu jian yi 	不建議	c=1 d=2.8798e-32 t=35298
bu jie 	不解	c=1 d=0.00156177 t=35298
bu jie yi 	不介意	c=1 d=0.0702988 t=35298
bu jiu 	不久	c=1 d=2.81702e-08 t=35298
bu jiu 	不就	c=2 d=2.37008e-05 t=35298
bu jiu shi 	不就是	c=2 d=1.84645e-09 t=35298
bu jiu wo 	不救我	c=1 d=0.00771182 t=35298
bu ka 	不卡	c=2 d=0.000107825 t=35298
bu kai 	不開	c=1 d=0.00199922 t=35298
bu kan 	不看	c=1 d=2.16197e-12 t=35298
bu ke 	不可	c=3 d=0.0266494 t=35298
bu ke neng 	不可能	c=1 d=0.0258615 t=35298
bu ke yi 	不可以	c=1 d=1 t=35154
bu kou qian 	不扣錢	c=1 d=3.83219e-11 t=35298
bu kui 	不愧	c=5 d=0.436049 t=35298
bu kui 	不虧	c=1 d=9.83572e-12 t=35298
bu lai 	不來	c=3 d=2.78463e-19 t=35298
bu lai 	不賴	c=1 d=4.58797e-11 t=35298
bu lai dun 	布萊頓	c=1 d=5.91536e-30 t=35298
bu le 	不了	c=1 d=3.7048e-25 t=35298
bu li 	不理	c=1 d=2.17688e-34 t=35298
bu li jie 	不理解	c=1 d=1.30725e-05 t=35298
bu li wo 	不理我	c=10 d=0.0648495 t=35298
bu liao 	不了	c=4 d=3.72665e-06 t=35298
bu lie 	捕獵	c=1 d=6.53992e-05 t=35298
bu liu 	不留	c=1 d=2.214e-27 t=35298
bu luan 	不亂	c=1 d=3.6622e-36 t=35298
bu luo 	部落	c=9 d=0.00323243 t=35298
bu mai 	不買	c=5 d=4.89441e-07 t=35298
bu man 	不滿	c=1 d=0.293758 t=35298
bu mang 	不忙	c=1 d=7.95208e-11 t=35298
bu neng 	不能	c=53 d=0.224918 t=35298
bu pa 	不怕	c=1 d=4.87e-07 t=35298
bu pei 	不配	c=7 d=4.85957e-06 t=35298
bu piao 	補票	c=1 d=9.51034e-28 t=35298
bu qi 	不起	c=1 d=0.000138093 t=35298
bu qi 	補齊	c=1 d=5.96566e-12 t=35298
bu qian 	不牽	c=1 d=0.00914087 t=35298
bu qiang 	步槍	c=1 d=1.49284e-08 t=35298
bu qing 	不清	c=1 d=8.37121e-27 t=35298
bu qu 	不去	c=6 d=1.0209e-08 t=35298
bu qu 	不取	c=0 d=2.47404e-11 t=35298
bu qu zheng 	不取整	c=1 d=2.48643e-10 t=35298
bu que 	不缺	c=1 d=7.79464e-11 t=35298
bu que ding 	不確定	c=1 d=3.47708e-14 t=35298
bu ran 	不然	c=25 d=0.0181401 t=35298
bu rang 	不讓	c=1 d=2.96811e-05 t=35298
bu re 	不熱	c=1 d=2.51707e-07 t=35298
bu ren 	不認	c=0 d=0.00668703 t=35298
bu ren shi 	不認識	c=1 d=0.0672055 t=35298
bu ru 	不如	c=4 d=0.000907334 t=35298
bu shi 	不是	c=68 d=1.84956 t=35298
bu shi ba 	不是吧	c=1 d=0.00367942 t=35298
bu shu 	部署	c=2 d=1.27915e-14 t=35298
bu shu yu 	不屬於	c=1 d=1 t=33747
bu shuang 	不爽	c=1 d=1.70449e-09 t=35298
bu tai 	不太	c=2 d=1.69132e-06 t=35298
bu tai hao 	不太好	c=1 d=1.54601e-08 t=35298
bu tai xing 	不太行	c=1 d=1.60408e-30 t=35298
bu ti shi 	不提示	c=2 d=4.74977e-07 t=35298
bu tie 	補貼	c=2 d=1.17865e-12 t=35298
bu tong 	不同	c=6 d=8.04869e-06 t=35298
bu tong guo 	不通過	c=1 d=1 t=32398
bu tui jian 	不推薦	c=2 d=0.937067 t=35298
bu wan 	不玩	c=2 d=1.11974e-07 t=35298
bu wan zheng 	不完整	c=1 d=8.06817e-05 t=35298
bu wei 	不爲	c=1 d=1 t=32553
bu wen 	不問	c=1 d=7.56814e-17 t=35298
bu wen ding 	不穩定	c=2 d=1.07972e-20 t=35298
bu wu zheng ye 	不務正業	c=1 d=4.98547e-18 t=35298
bu xi huan 	不喜歡	c=1 d=7.86896e-05 t=35298
bu xian shi 	不顯示	c=3 d=0.00319873 t=35298
bu xiang 	不想	c=12 d=0.458539 t=35298
bu xiang 	不香	c=6 d=0.00120654 t=35298
bu xiang gan 	不想幹	c=1 d=5.30388e-11 t=35298
bu xiang qu 	不想去	c=1 d=1.3172e-06 t=35298
bu xie 	不寫	c=1 d=3.96114e-18 t=35298
bu xin 	不信	c=1 d=1.93605e-37 t=35298
bu xing 	不行	c=8 d=5.53518e-05 t=35298
bu xiu gang 	不鏽鋼	c=1 d=1.81865e-07 t=35298
bu xu yao 	不需要	c=3 d=0.721414 t=35298
bu yao 	不要	c=25 d=0.00825609 t=35298
bu yi yang 	不一樣	c=4 d=0.0301792 t=35298
bu yi yang le 	不一樣了	c=1 d=0.17552 t=35298
bu yi zhi 	不一致	c=1 d=2.8898e-14 t=35298
bu ying gai 	不應該	c=1 d=4.65572e-07 t=35298
bu yong 	不用	c=21 d=0.00711392 t=35298
bu yue 	捕月	c=1 d=0.00433948 t=35298
bu za di 	不咋地	c=1 d=1.10574e-06 t=35298
bu zai 	不再	c=3 d=2.20985e-05 t=35298
bu zai 	不在	c=1 d=4.4279e-05 t=35298
bu zen me 	不怎麼	c=1 d=0.19593 t=35298
bu zhao 	不着	c=1 d=4.03704e-06 t=35298
bu zhe me 	不這麼	c=1 d=0.00184551 t=35298
bu zheng 	補正	c=1 d=0.000880518 t=35298
bu zheng chang 	不正常	c=4 d=0.19142 t=35298
bu zheng que 	不正確	c=2 d=0.105399 t=35298
bu zhi 	不止	c=1 d=5.36267e-23 t=35298
bu zhi chi 	不支持	c=1 d=1 t=34952
bu zhi dao 	不知道	c=29 d=0.171187 t=35298
bu zhou 	步驟	c=2 d=8.85234e-08 t=35298
bu zhu 	不住	c=1 d=7.70241e-18 t=35298
bu zu 	不足	c=1 d=5.42226e-06 t=35298
bu zuo 	不做	c=2 d=4.99329e-07 t=35298
ca 	擦	c=1 d=0.00185476 t=35298
cai 	才	c=25 d=0.425165 t=35298
cai 	猜	c=2 d=2.46086e-06 t=35298
cai 	菜	c=11 d=0.0244775 t=35298
cai 	蔡	c=4 d=6.67699e-13 t=35298
cai cai 	菜菜	c=2 d=0.000342338 t=35298
cai dan 	菜單	c=17 d=0.607629 t=35298
cai dui 	猜對	c=1 d=1.76425e-32 t=35298
cai gou 	採購	c=1 d=1.56853e-31 t=35298
cai guai 	纔怪	c=1 d=0.000108366 t=35298
cai hui 	纔會	c=3 d=0.00501662 t=35298
cai ji 	採集	c=1 d=1 t=31495
cai li 	彩禮	c=4 d=0.0070589 t=35298
cai liao 	材料	c=5 d=1.65449e-09 t=35298
cai neng 	才能	c=4 d=4.34075e-05 t=35298
cai niao 	菜鳥	c=2 d=4.54076e-07 t=35298
cai shi 	纔是	c=2 d=2.6393e-06 t=35298
cai shi chang 	菜市場	c=1 d=0.00280878 t=35298
cai tang 	菜湯	c=3 d=0.384791 t=35298
cai wei 	才爲	c=1 d=0.0303487 t=35298
cai wu 	財務	c=2 d=0.016326 t=35298
cai yao 	纔要	c=1 d=2.1232e-05 t=35298
cai yong 	採用	c=2 d=2.78179e-07 t=35298
cai you 	纔有	c=6 d=0.00695996 t=35298
cai zheng 	財政	c=1 d=1.95856e-26 t=35298
cai zhi dao 	才知道	c=1 d=5.82946e-05 t=35298
cai zong 	蔡總	c=10 d=0.00287994 t=35298
can 	參	c=1 d=1.6306e-17 t=35298
can 	慘	c=2 d=0.000258659 t=35298
can kao 	參考	c=2 d=3.76333e-35 t=35298
can ku 	殘酷	c=1 d=3.18323e-34 t=35298
can shu 	參數	c=45 d=4.0616 t=35298
cang 	倉	c=5 d=3.58858e-08 t=35298
cao 	曹	c=1 d=0.666977 t=35298
cao zuo 	操作	c=63 d=2.74968 t=35298
ce 	冊	c=1 d=1.5081e-10 t=35298
ce 	測	c=4 d=1.80491e-06 t=35298
ce guo 	测过	c=1 d=1.02086e-37 t=35298
ce hua 	策劃	c=2 d=3.72166e-09 t=35298
ce lve 	策略	c=2 d=1.32813e-15 t=35298
ce mian 	側面	c=1 d=4.67905e-07 t=35298
ce shi 	測試	c=114 d=0.274479 t=35298
ce shi ban 	測試版	c=1 d=3.64145e-28 t=35298
ce su 	測速	c=4 d=0.00161245 t=35298
ce suo 	廁所	c=3 d=2.13421e-07 t=35298
ceng 	層	c=5 d=0.865606 t=35298
ceng 	蹭	c=2 d=6.55684e-06 t=35298
ceng ci 	層次	c=1 d=1.25271e-33 t=35298
ceng fan 	蹭飯	c=1 d=0.0706512 t=35298
ceng ji 	層級	c=2 d=0.000523486 t=35298
cha 	叉	c=1 d=8.91973e-09 t=35298
cha 	差	c=9 d=0.00282601 t=35298
cha 	查	c=14 d=0.680478 t=35298
cha 	茬	c=1 d=2.81261e-19 t=35298
cha 	茶	c=2 d=6.33538e-05 t=35298
cha bie 	差別	c=2 d=0.00328429 t=35298
cha bu duo 	差不多	c=9 d=0.0200405 t=35298
cha dao 	查到	c=1 d=8.25219e-35 t=35298
cha dian 	差點	c=1 d=6.5184e-25 t=35298
cha ge 	差個	c=2 d=2.82479e-11 t=35298
cha jian 	插件	c=9 d=0.00177355 t=35298
cha ju 	差距	c=1 d=9.38503e-19 t=35298
cha kan 	查看	c=16 d=0.580584 t=35298
cha ru 	插入	c=1 d=0.000435071 t=35298
cha xun 	查詢	c=87 d=0.511912 t=35298
cha ye dan 	茶葉蛋	c=1 d=0.00308872 t=35298
cha yue 	查閱	c=1 d=1 t=31644
cha zhao 	查找	c=1 d=1.63649e-30 t=35298
cha zhe 	插着	c=1 d=0.00112497 t=35298
cha zuo 	插座	c=1 d=1.08104e-05 t=35298
chai 	拆	c=10 d=0.399137 t=35298
chai gou 	豺狗	c=1 d=0.000584356 t=35298
chai huo 	柴火	c=1 d=2.87491e-12 t=35298
